ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415068.0000000000000000,1,0,5.4111746395207658e+07,-2.7255878987001972e+06,-7.1452552643217314e+06,-3.2232104955215164e+05,3.8573240989121236e+06,2.0931704713721860e+06
de405,2415069.0000000000000000,1,0,5.3621381014546111e+07,1.1390503764351511e+06,-5.0307024753463715e+06,-6.6059295971767674e+05,3.8679629871836579e+06,2.1340318181114132e+06
de405,2415070.0000000000000000,1,0,5.2786483496635579e+07,5.0019607893470433e+06,-2.8812410350614982e+06,-1.0110787126815999e+06,3.8534696641011215e+06,2.1627429779503657e+06
de405,2415071.0000000000000000,1,0,5.1595848664615594e+07,8.8368171075927150e+06,-7.0976363025840744e+05,-1.3716699627963211e+06,3.8114609409515415e+06,2.1778120774057233e+06
de405,2415072.0000000000000000,1,0,5.0040663122840002e+07,1.2614939344744466e+07,1.4693314194728145e+06,-1.7396815034474672e+06,3.7396281521911728e+06,2.1777270443935189e+06
de405,2415073.0000000000000000,1,0,4.8115109610083461e+07,1.6305419166839926e+07,3.6401442752639214e+06,-2.1117990774787343e+06,3.6358428438435593e+06,2.1610066173738381e+06
de405,2415074.0000000000000000,1,0,4.5817013477885336e+07,1.9875362615931977e+07,5.7853359579779329e+06,-2.4840490522477804e+06,3.4982854846234242e+06,2.1262659223861718e+06
de405,2415075.0000000000000000,1,0,4.3148503986394212e+07,2.3290271927093193e+07,7.8862634611171875e+06,-2.8518010464890930e+06,3.3255941302713137e+06,2.0722961319421579e+06
de405,2415076.0000000000000000,1,0,4.0116651628794178e+07,2.6514583254063331e+07,9.9232006108656526e+06,-3.2098151500326390e+06,3.1170260366574307e+06,1.9981556761234119e+06
de405,2415077.0000000000000000,1,0,3.6734031488603182e+07,2.9512367835234512e+07,1.1875653894689009e+07,-3.5523441506466796e+06,2.8726205882106810e+06,1.9032678767939999e+06
de405,2415078.0000000000000000,1,0,3.3019153834476996e+07,3.2248190142861202e+07,1.3722775925159320e+07,-3.8732974996222421e+06,2.5933472770333560e+06,1.7875170198174738e+06
de405,2415079.0000000000000000,1,0,2.8996699436445735e+07,3.4688098378755018e+07,1.5443869884837108e+07,-4.1664672584846555e+06,2.2812189287826573e+06,1.6513323153390957e+06
de405,2415080.0000000000000000,1,0,2.4697501169064220e+07,3.6800702066002481e+07,1.7018966865984984e+07,-4.4258072743874313e+06,1.9393492730240922e+06,1.4957476742050101e+06
de405,2415081.0000000000000000,1,0,2.0158227334298916e+07,3.8558271532644838e+07,1.8429445921604030e+07,-4.6457465363922864e+06,1.5719365488338657e+06,1.3224255425502516e+06
de405,2415082.0000000000000000,1,0,1.5420746103431813e+07,3.9937778874906696e+07,1.9658656030613597e+07,-4.8215081732738791e+06,1.1841617609876834e+06,1.1336357471210100e+06
de405,2415083.0000000000000000,1,0,1.0531182451389559e+07,4.0921793730204970e+07,2.0692492513284832e+07,-4.9493994671745617e+06,7.8200099122653622e+05,9.3218543224029453e+05
de405,2415084.0000000000000000,1,0,5.5387143163140267e+06,4.1499152960732967e+07,2.1519879837073795e+07,-5.0270378821636401e+06,3.7196403425205790e+05,7.2130300019858486e+05
de405,2415085.0000000000000000,1,0,4.9418707600967865e+05,4.1665341871854201e+07,2.2133119279044244e+07,-5.0534845175585700e+06,-3.9216250760656287e+04,5.0448610618509440e+05
de405,2415086.0000000000000000,1,0,-4.5513517640292859e+06,4.1422553578171775e+07,2.2528073019269615e+07,-5.0292687969105663e+06,-4.4491114109318424e+05,2.8532950277988520e+05
de405,2415087.0000000000000000,1,0,-9.5480873311362844e+06,4.0779427593065992e+07,2.2704173764289845e+07,-4.9563039578920724e+06,-8.3890471007909405e+05,6.7351428660891499e+04
de405,2415088.0000000000000000,1,0,-1.4448738719826987e+07,3.9750502246380150e+07,2.2664267680315454e+07,-4.8377083387567140e+06,-1.2156530125905755e+06,-1.4616338098496950e+05
de405,2415089.0000000000000000,1,0,-1.9209645270346254e+07,3.8355442114000343e+07,2.2414314818445120e+07,-4.6775590906065665e+06,-1.5704722525224874e+06,-3.5228978857233748e+05
de405,2415090.0000000000000000,1,0,-2.3791586171131961e+07,3.6618117269669086e+07,2.1962982679660678e+07,-4.4806106308542984e+06,-1.8996464127839017e+06,-5.4854900859277113e+05
de405,2415091.0000000000000000,1,0,-2.8160314281921029e+07,3.4565614684275791e+07,2.1321173826064333e+07,-4.2520095822624704e+06,-2.2004565671914108e+06,-7.3295390619621519e+05
de405,2415092.0000000000000000,1,0,-3.2286814385542918e+07,3.2227255023774512e+07,2.0501527715657759e+07,-3.9970324190861657e+06,-2.4711432341135088e+06,-9.0401617895383853e+05
